"title","description"
"Proyectos ágiles: desarrollo de tareas con Taiga","Al finalizar este proyecto guiado, podrá crear tareas para proyectos ágiles en función de las fases anteriores del proyecto. Esto le permitirá identificar ""cómo"" experimentará el cliente/usuario el producto o servicio. Aprenderá a encapsular el valor para el cliente en estas tareas. Esto es esencial para generar resultados positivos para su emprendimiento comercial. Además, este proyecto guiado está diseñado para involucrar y aprovechar sus habilidades visionarias y exploratorias. Utilizará modelos probados en la gestión de proyectos ágiles con Taiga para dar forma a la hoja de ruta de desarrollo de productos y servicios. Practicaremos de manera crítica la definición de cómo las historias de usuario se convierten en tareas valiosas para crear funcionalidad para productos y servicios."
"Proyecto final de gestión de deportes electrónicos","Analizaremos los pros y los contras de crear una o varias organizaciones de deportes electrónicos y recomendaremos una estrategia de marca eficaz para una organización hipotética de deportes electrónicos en función de las consideraciones actuales sobre la marca de deportes electrónicos. Desarrollarás un plan para reclutar recursos financieros para una organización hipotética de deportes electrónicos y elegirás un rol de organización de deportes electrónicos que te interese, además de Propietario, y describirás tu razonamiento."
"Hackeo y parcheo","En este MOOC, aprenderá a hackear aplicaciones web con vulnerabilidades de inyección de comandos en un sitio web de su instancia AWS Linux. Aprenderá a buscar información valiosa en sistemas Linux típicos con servicios LAMP y a depositar y ocultar troyanos para su explotación futura. Aprenderá a aplicar parches a estas aplicaciones web con validación de entrada mediante expresiones regulares. Aprenderá un patrón de diseño de seguridad para evitar la introducción de vulnerabilidades de inyección mediante la validación de entrada y el reemplazo de llamadas genéricas del sistema con llamadas de función específicas. Aprenderá a hackear aplicaciones web con vulnerabilidades de inyección SQL y recuperar información de perfil de usuario y contraseñas. Aprenderá a aplicarles parches con validación de entrada y vinculación de parámetros SQL. Aprenderá la metodología de hackeo, la herramienta Nessus para escanear vulnerabilidades, Kali Linux para pruebas de penetración y Metasploit Framework para obtener acceso a sistemas Windows vulnerables, implementar keylogger y realizar inyección remota de servidor VNC. Aprenderá seguridad en sistemas de memoria y diseño de memoria virtual, y comprenderá los ataques de desbordamiento de búfer y sus defensas. Aprenderá cómo clonar una instancia de Kali con soporte de GPU AWS P2 y realizar el descifrado de contraseñas hashcat usando ataques de diccionario y ataques de máscara de patrones conocidos."
"Proyecto final de estadística y análisis empresarial","El proyecto final de Análisis y Estadística Empresarial es una oportunidad para aplicar diversas habilidades desarrolladas en los cuatro cursos de la especialización a datos de la vida real. El proyecto final, en colaboración con un socio de la industria, utiliza ""Datos de Vivienda"" disponibles públicamente para plantear diversas preguntas que un cliente normalmente le plantearía a un analista de datos. Su trabajo es realizar el análisis estadístico relevante e informar sus hallazgos en respuesta a las preguntas de una manera que todos puedan entender. Recuerde que este es un proyecto final y tiene un grado de dificultad/ambigüedad mayor que los cuatro cursos anteriores. El objetivo es imitar una aplicación de la vida real lo más fielmente posible."
"Obtenga datos rápidamente con la búsqueda vertical y horizontal","Los datos pueden llegar a nosotros en múltiples formas y desde múltiples tipos de archivos. Es probable que en algún momento te enfrentes a un conjunto de datos que incluye categorías y subcategorías bajo un encabezado o bajo encabezados con subtítulos anidados. Recorrer la estructura de archivos puede parecer una tarea que requiere mucho tiempo, por lo que es fundamental aprovechar BUSCARV y BUSCARH para extraer los datos necesarios rápidamente. En este curso, comprenderás cómo funcionan las tablas de búsqueda y aplicarás las fórmulas BUSCARV y BUSCARH para extraer datos rápidamente al tratar una sección de tu hoja de cálculo como una tabla de búsqueda. Harás esto mientras trabajamos codo a codo en el software gratuito Google Sheets. Al final de este curso, comprenderás los casos de uso para usar la búsqueda vertical y horizontal para extraer datos cuando los conjuntos de datos tienen categorías configuradas con múltiples niveles. También podrás aplicar con confianza las fórmulas BUSCARV y BUSCARH para obtener datos en cualquier software de hojas de cálculo. Nota: Este curso funciona mejor para los alumnos que se encuentran en la región de América del Norte. Actualmente estamos trabajando para brindar la misma experiencia en otras regiones."
"Salud global: una visión interdisciplinaria","Este curso propone una visión general de los desafíos actuales de la salud global a partir de los conocimientos de varias disciplinas académicas, entre ellas la medicina, la salud pública, el derecho, la economía, las ciencias sociales y las humanidades. Este enfoque interdisciplinario guiará al estudiante hacia siete temas críticos en materia de salud global."
"Fundamentos de programación en Python","Este curso te presentará el maravilloso mundo de la programación en Python. Aprenderemos sobre los elementos esenciales de la programación y cómo construir programas básicos en Python. Cubriremos expresiones, variables, funciones, lógica y condicionales, que son conceptos fundamentales en la programación informática. También te enseñaremos cómo usar módulos de Python, que te permiten beneficiarte de la amplia gama de funcionalidades que ya son parte del lenguaje Python. Estos conceptos y habilidades te ayudarán a comenzar a pensar como un programador de computadoras y a comprender cómo escribir programas en Python. Al final del curso, podrás escribir programas cortos en Python que puedan realizar tareas reales y prácticas. Este curso es la base para desarrollar experiencia en programación en Python. Como primer curso de una especialización, proporciona los elementos básicos necesarios para que tengas éxito en el aprendizaje de la escritura de programas en Python más complejos. Este curso utiliza Python 3. Si bien muchos programas en Python continúan utilizando Python 2, Python 3 es el futuro del lenguaje de programación Python. En este primer curso se utilizará una versión Python 3 del entorno de desarrollo CodeSkulptor, que está diseñado específicamente para ayudar a los programadores principiantes a aprender rápidamente. CodeSkulptor se ejecuta en cualquier navegador web moderno y no requiere la instalación de ningún software, lo que le permite comenzar a escribir y ejecutar programas pequeños de inmediato. En los cursos posteriores de esta especialización, lo ayudaremos a pasar a entornos de desarrollo de escritorio más sofisticados."
"Creación de paneles y narración de historias con Tableau","Aprovechando las visualizaciones que creó en el curso anterior, Visual Analytics con Tableau, creará paneles que lo ayudarán a identificar la historia dentro de sus datos y descubrirá cómo usar Storypoints para crear una historia poderosa que deje una impresión duradera en su audiencia. Equilibrará los objetivos de sus partes interesadas con las necesidades de sus usuarios finales y podrá estructurar y organizar su historia para lograr el máximo impacto. A lo largo del curso, aplicará funciones más avanzadas dentro de Tableau, como jerarquías, acciones y parámetros para guiar las interacciones de los usuarios. Para su proyecto final, creará una narrativa convincente para presentar en una reunión, como un informe estático o en una presentación interactiva en línea."
"Programación paralela","Ahora que cada teléfono inteligente y computadora cuenta con múltiples procesadores, el uso de ideas funcionales para facilitar la programación paralela se está extendiendo cada vez más. En este curso, aprenderá los fundamentos de la programación paralela, desde el paralelismo de tareas hasta el paralelismo de datos. En particular, verá cómo muchas ideas familiares de la programación funcional se adaptan perfectamente al paradigma de paralelismo de datos. Comenzaremos con los aspectos básicos de cómo paralelizar de manera efectiva las operaciones de colecciones familiares y desarrollaremos colecciones paralelas, una biblioteca de colecciones paralelas de datos lista para producción disponible en la biblioteca estándar de Scala. A lo largo del curso, aplicaremos estos conceptos a través de varios ejemplos prácticos que analizan datos del mundo real, como algoritmos populares como la agrupación en clústeres de k-medias. Resultados del aprendizaje. Al final de este curso, podrá: - razonar sobre programas paralelos de tareas y datos, - expresar algoritmos comunes en un estilo funcional y resolverlos en paralelo, - realizar micropruebas de código paralelo de manera competente, - escribir programas que usen colecciones paralelas de manera efectiva para lograr el rendimiento Antecedentes recomendados: debe tener al menos un año de experiencia en programación. Lo ideal es tener conocimientos de Java o C#, pero también es suficiente tener experiencia con otros lenguajes como C/C++, Python, Javascript o Ruby. Debes tener cierta familiaridad con la línea de comandos. Este curso está pensado para que lo tomes después de Diseño de programas funcionales en Scala: https://www.coursera.org/learn/progfun2."
"Sistemas de recomendación con TensorFlow en GCP","En este curso, aplicarás tu conocimiento de modelos de clasificación e incrustaciones para crear una canalización de ML que funcione como un motor de recomendaciones. ÔøΩ Diseñar un motor de recomendaciones basado en contenido ÔøΩ Implementar un motor de recomendaciones de filtrado colaborativo ÔøΩ Crear un motor de recomendaciones híbrido con incrustaciones de usuarios y contenido >>> Al inscribirte en este curso, aceptas los Términos de servicio de Qwiklabs, tal como se establecen en las Preguntas frecuentes y se encuentran en: https://qwiklabs.com/terms_of_service <<<"
"El Ártico cambiante","¿Qué aprenderé? Después de realizar este curso, comprenderá los paisajes del Ártico, cómo se formaron y cómo están cambiando. También aprenderá cómo los científicos de los países del Norte están trabajando juntos para comprender cómo afectarán estos cambios a los pueblos del Norte y a la comunidad global. Experimentará una variedad de temas científicos, métodos actualizados para comprender nuestro medio ambiente y las opiniones de consenso actuales sobre el futuro del medio ambiente del Ártico. ¿Necesito conocimientos previos? No se necesitan conocimientos previos para este curso."
"COVID-19 - Actualización clínica","Como experto en enfermedades infecciosas, editor del Journal of Infectious Diseases y autor del libro de texto Infectious Diseases: A clinical short course, McGraw-Hill April 2020, me ha preocupado la desinformación que se comparte sobre la epidemia de COVID-19. ¿Cómo se desarrolló esta enfermedad? ¿De dónde vino? ¿Cómo causa enfermedades? Las respuestas a estas preguntas se responderán en el primer video del módulo 1. El mundo se ha sorprendido y asustado por la rápida propagación de este virus en todo el mundo. En el video 2 se revisa la epidemiología tal como se entiende actualmente. Este video se actualizará periódicamente reconociendo la rápida progresión de la pandemia. Muchos quieren saber cómo se presenta esta enfermedad, cuáles son los síntomas asociados con COVID-19? ¿Qué tan peligroso es COVID-19? ¿Quién corre el riesgo de morir? Todas estas preguntas se responden en el video 3. Y finalmente, ¿cuál es la mejor manera de tratar esta enfermedad y cómo podemos frenar la propagación de la infección? Estas preguntas se responden en el video 4. Además de los videos, se incluyen preguntas de opción múltiple para evaluar su comprensión y hay un ejercicio de epidemiología revisado por pares diseñado para enseñarle cómo se propaga esta infección y para mostrar el poder del rastreo de casos y el aislamiento de aquellos que están infectados. El segundo ejercicio de revisión por pares lo alentará a crear una campaña para cambiar la cultura de su país y adoptar comportamientos que puedan llevar a la supresión de la epidemia, comportamientos que salvarán vidas. Después de completar este curso, estará armado con el conocimiento y las habilidades para marcar la diferencia y ayudar a doblar la curva."
"Cómo crear efectos de texto en GIMP","En este curso de 1 hora basado en proyectos, aprenderá a agregar una gran variedad de efectos de texto. Aprenderá a hacer que su texto se destaque del fondo, a agregar un borde a su texto y a crear un contorno de texto. Aprenderá a colocar una imagen dentro de un texto y a colocar un degradado dentro de un texto. Aprenderá a colocar texto en un trazado y a crear texto en 3D. También aprenderá a agregar filtros a su texto para generar sus propios efectos de texto. Nota: Este curso funciona mejor para los alumnos que se encuentran en la región de América del Norte. Actualmente, estamos trabajando para brindar la misma experiencia en otras regiones."
"Preparación para el examen de ingeniero de datos profesional de Google Cloud","Del curso: ""La mejor manera de prepararse para el examen es ser competente en las habilidades requeridas para el trabajo"". Este curso utiliza un enfoque descendente para reconocer los conocimientos y las habilidades que ya se conocen y para sacar a la luz información y áreas de habilidades para una preparación adicional. Puede utilizar este curso para crear su propio plan de preparación personalizado. Le ayuda a distinguir lo que sabe de lo que no sabe y a desarrollar y practicar las habilidades requeridas de los profesionales que realizan este trabajo. El curso sigue la organización del esquema de la Guía del examen, presentando conceptos de nivel más alto, ""piedras de toque"", para que usted determine si se siente seguro acerca de su conocimiento de esa área y sus conceptos dependientes, o si desea estudiar más. También aprenderá y tendrá la oportunidad de practicar habilidades laborales clave, incluidas habilidades cognitivas como el análisis de casos, la identificación de puntos de observación técnicos y el desarrollo de soluciones propuestas. Estas son habilidades laborales que también son habilidades para el examen. También pondrá a prueba sus habilidades básicas con los laboratorios de desafío de seguimiento de actividades. Y tendrá muchas preguntas de muestra similares a las del examen, incluidas las soluciones. El final del curso contiene un cuestionario de práctica sin calificación, seguido de un cuestionario de práctica calificado que simula la experiencia de tomar el examen. ¡Nuevo! DESAFÍO DE FINALIZACIÓN DEL CERTIFICADO para desbloquear los beneficios de Coursera y Google Cloud Inscríbete y completa el Certificado profesional de Ingeniería en la nube con Google Cloud o Arquitectura en la nube con Google Cloud o Ingeniería de datos con Google Cloud antes del 8 de noviembre de 2020 para recibir los siguientes beneficios"
"Análisis de regresión múltiple en salud pública","La bioestadística es la aplicación del razonamiento estadístico a las ciencias de la vida y es la clave para desentrañar los datos recopilados por los investigadores y la evidencia presentada en la literatura científica de salud pública. En este curso, ampliará la regresión simple a la predicción de un único resultado de interés sobre la base de múltiples variables. A lo largo del curso, se le presentará una variedad de métodos y practicará la interpretación de datos y la realización de cálculos sobre datos reales de estudios publicados. Los temas incluyen regresión logística múltiple, el enfoque Spline, intervalos de confianza, valores p, regresión de Cox múltiple, ajuste y modificación de efectos."
"Fisiopatología general","Estimados oyentes! Advertencia: este curso contiene material impactante y no se recomienda su visualización a personas con psique débil, menores y mujeres embarazadas. El curso describe el tema y los métodos de la fisiopatología, su lugar dentro del sistema de las ciencias biomédicas y la historia. Incluye nosología general (concepto de salud y enfermedad, etiología general y patogénesis, procesos y estados patológicos, papel de los factores causales, condiciones, reactividad y somatotipo en patología). Proporciona una sistemática de los procesos patológicos típicos impulsados localmente y centralmente: hiperemias arteriales, venosas y combinadas, estasis, inflamación, procesos inmunopatológicos (incluyendo alergias y trastornos autoinmunes), respuesta de fase aguda, fiebre, estrés, shock, etc. El curso trata de los aspectos funcionales, metabólicos e informativos de los procesos patológicos típicos, como los trastornos de señalización, recepción, traducción del receptor post ÔøΩ, programación y archivo de programas, conflictos de programas en sistemas vivos. Contiene el consiguiente análisis de las lesiones y las respuestas defensivas en lo que respecta a las células, órganos y tejidos separados y al organismo en su totalidad. Las conferencias se basan en el libro de texto original de tres volúmenes del autor y el taller sobre fisiopatología, republicado en Rusia muchas veces."
"Salud de la población: modelos de pago alternativos","La forma en que actualmente pagamos a nuestros proveedores de atención médica conduce a resultados subóptimos y gastos innecesarios. En consecuencia, no logramos maximizar el valor de nuestros servicios de atención médica. Necesitamos cambiar los modelos de pago a los proveedores para mantener la sostenibilidad financiera de los sistemas de atención médica. No hacer nada no es una opción. Pero la pregunta es, ¿cómo lo hacemos? Durante este curso, analizaremos la lógica de las reformas de pago y profundizaremos en los elementos clave de diseño de los modelos de pago alternativos (APM) y cómo cambian los incentivos de los proveedores de atención médica. Aprenderá sobre una hoja de ruta para diseñar e implementar APM por su cuenta. Aprenderá sobre economía del comportamiento y comportamiento humano que son esenciales para avanzar en el diseño e implementación de APM. Después del curso, puede aplicar sus habilidades perfeccionadas para liderar el cambio en la atención médica a través de modelos de pago innovadores para aumentar el valor de los servicios de atención médica. Este curso está dirigido a una variedad de profesionales del sector de la atención médica con el fin de lograr un lenguaje común. ¿Es usted un proveedor, miembro de la junta directiva, trabaja en un pagador público o privado o es un investigador que trabaja en el sector de la salud? ¡Este curso es relevante para usted! Este curso forma parte del programa de máster de la Universidad de Leiden, Gestión de la salud de la población. Si desea obtener más información sobre este programa, consulte la última lectura de este curso."
"AWS Elastic Beanstalk: creación e implementación de una API RESTful de Node.js","En este curso de 1 hora basado en proyectos, aprenderá a crear una API RESTful de Node.js y a lanzarla en su propio servidor utilizando la tecnología AWS Elastic Beanstalk. Utilizará Express.js, o simplemente Express, un marco de aplicación web de back-end para el marco Node.js para crear su API RESTful y la consola de administración de escritorio de AWS para implementar la API RESTful en los servidores de AWS. Además, aprenderá más sobre cómo leer los registros del servidor, cómo cambiar entre diferentes versiones de sus aplicaciones API y también cómo monitorear sus servidores de AWS utilizando la consola de administración de Elastic Beanstalk. Nota: Para evitar distracciones durante la configuración durante el curso, le recomendamos que cree una cuenta de Amazon AWS de antemano. Amazon AWS ofrece una opción de nivel gratuito durante 1 año y los materiales del curso utilizarán servicios que se incluyen en la opción de nivel gratuito."
"Filosofía","https://www.coursera.org/learn/philosophy-science-religion-2"
"Pobreza y población: cómo la demografía influye en las políticas","Este curso consta de cuatro módulos o focos. El primero trata de comprender las categorías de bienestar social (población, ingresos, ganancias y activos) y algunos conceptos relacionados que desempeñan un papel muy importante en la toma de decisiones políticas: desempleo, inflación y salario mínimo. El segundo aborda la institución central del bienestar social (el mercado laboral), que determina en gran medida la cantidad de recursos que tiene una persona. El mercado laboral también establece jerarquías, tanto a través de la meritocracia como de categorías de privilegio. El tercero trata de la pobreza: las diferentes formas en que definimos quién es pobre y cuán eficaces han sido los esfuerzos estadounidenses contra la pobreza. El último módulo analiza directamente la toma de decisiones federales, la organización política de las ideas, la estructura del gobierno estadounidense y el proceso legislativo que da forma a gran parte de nuestra política social. Este curso aborda cuestiones de poder, opresión y supremacía blanca. El curso es parte de una secuencia en política social que tiene una VÍA DE HONORES. Este curso preparará al alumno para el trabajo de nivel de maestría en políticas, que implica leer la literatura, escribir resúmenes concisos y analizar críticas. A lo largo de la secuencia, el alumno desarrollará un análisis de políticas que creará una base para las tareas de analista de políticas profesional."
"Electrodinámica: Análisis de campos eléctricos","Este curso es una continuación de Electrodinámica: Introducción. Aquí, cubriremos diferentes métodos para calcular un campo eléctrico. Además, presentaremos la polarización, los dieléctricos y cómo los campos eléctricos crean dipolos. Los estudiantes podrán aplicar la simetría y otras herramientas para calcular el campo eléctrico. Comprenderán qué son la susceptibilidad, la polarización y los dipolos. Además, los estudiantes aprenderán a visualizar las ecuaciones de Maxwell para aplicar las matemáticas derivadas a otros campos, como la difusión de calor/masa y las propiedades electromecánicas de mesoescala, y para crear patentes que podrían conducir a posibles innovaciones en el almacenamiento y la recolección de energía. El enfoque adoptado en este curso complementa los enfoques tradicionales, cubriendo un tratamiento bastante completo de la física de la electricidad y el magnetismo, y agrega el enfoque único y vital de Feynman para comprender una imagen del universo físico. Además, este curso proporciona de manera única el vínculo entre el conocimiento de la electrodinámica y sus aplicaciones prácticas para la investigación en ciencia de materiales, tecnología de la información, ingeniería eléctrica, química, ingeniería química, almacenamiento de energía, recolección de energía y otros campos relacionados con los materiales."
"La música de la pronunciación del inglés americano","En este tercer curso de la especialización en pronunciación del inglés americano, aprenderás y practicarás la ""música"" del inglés americano, las características de la pronunciación como el acento, el ritmo y la entonación que te ayudarán a mejorar tu comprensión auditiva, así como tu capacidad para comunicarte con más claridad. Cada semana recibirás consejos prácticos de estudiantes de inglés exitosos y practicarás una técnica eficaz llamada shadowing para mejorar tu pronunciación de las características musicales del inglés. También tendrás oportunidades de grabarte a ti mismo y de responder a las grabaciones de otros estudiantes. Solo los estudiantes que paguen por el curso podrán realizar los exámenes calificados o enviar tareas para recibir comentarios. La versión gratuita brinda acceso únicamente a las conferencias y actividades prácticas."
